Group_Beta_abs_intra,CKT_G01,CKT_G03,AvgRet,Alpha
Beta_abs_intra_G01,1.4177,5.3429,2.286,1.1264
Beta_abs_intra_G02,3.634,0.5789,2.3477,1.0157
Beta_abs_intra_G03,1.0824,1.6365,0.7063,-4.0569
HML,-0.3353,-3.7063,-1.5797,-5.1833
t,-0.1797,-1.4297,-1.4853,-3.3831
p,0.8625,0.226,0.181,0.0027
