Group_Square,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
Square_G01,1.6616,0.272,0.8702,0.4101
Square_G02,1.223,1.6171,1.3263,-3.0582
Square_G03,2.4742,3.6827,2.6333,0.2363
HML,0.8127,3.4107,1.7632,-0.1738
t,0.6223,1.1346,0.9359,-0.1285
p,0.5535,0.3199,0.3805,0.8989
