Group_AutoCorr,CKT_G01,CKT_G03,AvgRet,Alpha
AutoCorr_G01,-0.0386,3.1147,0.4327,-1.097
AutoCorr_G02,3.8676,1.5702,2.7517,0.1339
AutoCorr_G03,2.3051,2.8735,2.1556,-0.9517
HML,2.3437,-0.2412,1.7229,0.1454
t,1.9359,-0.0958,4.8812,0.0574
p,0.0941,0.9283,0.0018,0.9547
