Group_AutoCorr,CSK_G01,CSK_G03,AvgRet,Alpha
AutoCorr_G01,1.705,2.7218,1.911,-0.1363
AutoCorr_G02,2.3002,1.0686,1.7333,-1.4917
AutoCorr_G03,4.7089,1.1042,3.5138,-1.6249
HML,3.0039,-1.6176,1.6028,-1.4886
t,2.7729,-0.9912,1.1551,-0.7917
p,0.0276,0.3777,0.2859,0.437
