Group_AutoCorr,MAX_G01,MAX_G03,AvgRet,Alpha
AutoCorr_G01,2.1687,3.7534,2.5385,-0.6633
AutoCorr_G02,0.8754,0.4142,0.7962,-1.671
AutoCorr_G03,3.3741,2.092,3.12,-4.4886
HML,1.2054,-1.6614,0.5815,-3.8253
t,1.2727,-0.9708,0.4032,-1.8133
p,0.2438,0.3866,0.6988,0.0834
