Group_BQ100,REV_G01,REV_G03,AvgRet,Alpha
BQ100_G01,2.586,4.6042,2.9461,-0.2762
BQ100_G02,3.0361,1.2285,2.7958,-3.403
BQ100_G03,2.6733,0.0845,1.8192,2.151
HML,0.0873,-4.5197,-1.1269,2.4272
t,0.1212,-2.6339,-1.0543,0.7964
p,0.9069,0.0579,0.3268,0.4343
