Group_BQ100,CKT_G01,CKT_G03,AvgRet,Alpha
BQ100_G01,2.6294,2.9382,2.338,-4.0114
BQ100_G02,2.8963,-0.7227,1.5495,0.2341
BQ100_G03,0.6084,5.3429,1.4525,1.8625
HML,-2.021,2.4047,-0.8854,5.8739
t,-1.815,1.0094,-0.7468,2.5548
p,0.1124,0.3699,0.4795,0.0181
