Group_AutoCorr,REV_G01,REV_G03,AvgRet,Alpha
AutoCorr_G01,3.4326,2.2602,2.8788,-1.5174
AutoCorr_G02,1.5785,2.4285,1.8771,2.2585
AutoCorr_G03,3.2842,1.2285,2.8052,-2.2693
HML,-0.1484,-1.0316,-0.0736,-0.7519
t,-0.1038,-0.5007,-0.0473,-0.2566
p,0.9202,0.6429,0.9636,0.7999
