Group_BQ100,CSK_G01,CSK_G03,AvgRet,Alpha
BQ100_G01,2.5012,3.2598,2.5187,-1.9134
BQ100_G02,3.0932,-1.1156,1.473,-0.0708
BQ100_G03,3.1197,2.7504,3.1664,-1.2687
HML,0.6185,-0.5094,0.6478,0.6447
t,0.3128,-0.5918,0.3903,0.192
p,0.7636,0.5858,0.7079,0.8495
