Group_Square,IVOL_G01,IVOL_G03,AvgRet,Alpha
Square_G01,0.0737,3.0626,0.8024,0.2079
Square_G02,1.7306,-0.3207,1.239,0.4231
Square_G03,2.5348,3.1226,2.3915,1.2695
HML,2.4612,0.06,1.5891,1.0616
t,1.082,0.0222,0.7488,0.3322
p,0.3151,0.9833,0.4784,0.7429
