Group_Square,RSJ_G01,RSJ_G03,AvgRet,Alpha
Square_G01,3.6103,1.6101,3.004,-3.6424
Square_G02,2.4328,0.4337,2.0587,-0.059
Square_G03,2.4915,1.5037,2.0044,-0.5899
HML,-1.1188,-0.1064,-0.9996,3.0525
t,-0.7861,-0.0868,-0.8007,0.857
p,0.4576,0.935,0.4496,0.4007
