Group_Square,beta_G01,beta_G03,AvgRet,Alpha
Square_G01,2.0538,1.6588,1.4997,-0.3325
Square_G02,1.9295,-1.388,0.9214,-1.9387
Square_G03,1.8853,1.7657,1.3551,-2.6526
HML,-0.1685,0.1069,-0.1445,-2.3202
t,-0.2684,0.0546,-0.1568,-2.9177
p,0.7961,0.9591,0.8798,0.008
