Group_AutoCorr,beta_G01,beta_G03,AvgRet,Alpha
AutoCorr_G01,2.3633,1.7313,1.7121,-0.8212
AutoCorr_G02,1.6133,-1.2437,0.44,-1.1742
AutoCorr_G03,1.8921,1.5488,1.6242,-2.9284
HML,-0.4712,-0.1825,-0.0879,-2.1072
t,-0.5775,-0.1624,-0.1223,-0.9947
p,0.5817,0.8789,0.9061,0.3307
