Group_Square,ME_G01,ME_G03,AvgRet,Alpha
Square_G01,1.9922,2.2434,1.9635,-0.0384
Square_G02,2.7985,1.6365,2.3214,-2.5632
Square_G03,1.1491,2.9905,1.5942,4.1352
HML,-0.8432,0.7471,-0.3693,4.1735
t,-0.5153,0.4371,-0.325,4.6879
p,0.6222,0.6846,0.7547,0.0001
