Group_Beta_abs_intra,CSK_G01,CSK_G03,AvgRet,Alpha
Beta_abs_intra_G01,4.2167,2.3138,3.6456,-1.1929
Beta_abs_intra_G02,2.5075,0.8183,1.7845,-0.3999
Beta_abs_intra_G03,1.99,1.7625,1.728,-1.66
HML,-2.2267,-0.5512,-1.9177,-0.4671
t,-1.0989,-0.5013,-1.0787,-0.282
p,0.3082,0.6425,0.3165,0.7806
