Group_AutoCorr,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
AutoCorr_G01,2.2703,1.0503,1.9305,-0.9633
AutoCorr_G02,2.0663,2.6227,1.812,-0.4131
AutoCorr_G03,2.421,3.3708,2.6115,-4.3201
HML,0.1506,2.3206,0.681,-3.3567
t,0.1114,2.9583,0.4587,-1.9463
p,0.9144,0.0416,0.6604,0.0645
