Group_Square,REV_G01,REV_G03,AvgRet,Alpha
Square_G01,2.3831,2.348,2.0318,-0.3926
Square_G02,2.9218,3.4847,3.5515,-3.16
Square_G03,2.9904,0.0845,1.9778,2.0244
HML,0.6073,-2.2635,-0.054,2.417
t,1.1016,-2.1668,-0.0694,1.3121
p,0.3071,0.0962,0.9466,0.203
