Group_BQ100,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
BQ100_G01,2.5381,2.5832,2.3368,-0.0788
BQ100_G02,1.3925,2.8721,1.7706,-0.0211
BQ100_G03,2.827,1.5884,2.2466,-5.5967
HML,0.2888,-0.9948,-0.0902,-5.5179
t,0.1374,-0.4321,-0.0507,-2.2387
p,0.8945,0.6879,0.961,0.0356
