Trddt,BQ100,Stkcd
2005-04-08,4.1728248907991,1
2005-04-11,4.216163286843971,1
2005-04-12,1.507269484855018,1
2005-04-13,3.5182596792248377,1
2005-04-14,1.950228702973751,1
2005-04-15,4.563561324755885,1
2005-04-18,2.3042051904636955,1
2005-04-19,1.8218514607397904,1
2005-04-20,2.605518979005467,1
2005-04-25,3.766209093811164,1
2005-04-27,3.152389968584165,1
2005-04-28,2.0521589144814274,1
2005-04-29,4.517861891689461,1
2005-05-09,3.2939947388867923,1
2005-05-10,2.109733380941813,1
2005-05-11,1.6783554700955507,1
2005-05-12,1.562218275155271,1
2005-05-13,2.3575245153449167,1
2005-05-16,1.5731662352260891,1
2005-05-17,1.9611619558530096,1
2005-05-18,1.776262787592922,1
2005-05-19,2.2427797211101343,1
2005-05-20,2.9857417226667864,1
2005-05-23,1.7763821488055105,1
2005-05-24,1.8317350127214216,1
2005-05-25,1.3485748023915245,1
2005-05-26,0.6807371830253673,1
2005-05-27,1.7048262589574583,1
2005-05-30,0.7730695004709516,1
2005-05-31,3.380883778352177,1
2005-06-01,0.7183219663878807,1
2005-06-02,2.612850887047,1
2005-06-03,2.039514038105874,1
2005-06-06,1.7696397751850694,1
2005-06-07,1.4731262052430545,1
2005-06-08,0.7705249491134883,1
2005-06-09,1.1140034065220294,1
2005-06-10,1.703024303209881,1
2005-06-13,2.341054802571312,1
2005-06-14,1.511719961327994,1
2005-06-15,2.002384606029865,1
2005-06-16,1.1619098051129868,1
2005-06-20,1.9472684017811432,1
2005-06-21,1.936762715801659,1
2005-06-22,1.9526069788214375,1
2005-06-23,2.379063907211281,1
2005-06-24,1.2411051902049963,1
2005-06-27,1.55879361133061,1
2005-06-28,1.7564961717337215,1
2005-06-29,1.094771837253298,1
2005-06-30,2.226195962160287,1
2005-07-01,2.757818622931068,1
2005-07-05,1.3473419265948978,1
2005-07-07,1.3595028519185166,1
2005-07-08,1.1650883240619496,1
2005-07-11,2.3564330901767248,1
2005-07-12,1.9110566175208896,1
2005-07-13,1.2748246503503504,1
2005-07-14,1.9000130582732615,1
2005-07-15,0.916800514939103,1
2005-07-18,2.4200479534600507,1
2005-07-19,3.1297154097094744,1
2005-07-20,2.1040841201398237,1
2005-07-21,1.4848257189415166,1
2005-07-22,1.156390814552399,1
2005-07-25,1.8033905255468652,1
2005-07-26,0.9506970330179164,1
2005-07-27,1.6330503631131743,1
2005-07-28,2.008484127811606,1
2005-07-29,1.6011191069181234,1
2005-08-01,2.1787935358845787,1
2005-08-03,1.857467227227603,1
2005-08-05,1.1571094229461278,1
2005-08-10,2.162020257807496,1
2005-08-11,1.7024524105920906,1
2005-08-16,1.0232100526152572,1
2005-08-17,2.218957729025681,1
2005-08-18,3.008085739291304,1
2005-08-22,1.3702250298596683,1
2005-08-23,1.4915869940386846,1
2005-08-26,1.7858124508007058,1
2005-08-29,0.785233701947535,1
2005-08-30,1.0457672144860308,1
2005-08-31,1.9207516685611252,1
