Trddt,BQ100,Stkcd
2005-04-08,2.849316061793191,1
2005-04-11,2.1748800168621845,1
2005-04-12,1.266619120147065,1
2005-04-13,2.022893356352556,1
2005-04-14,1.2817015996234369,1
2005-04-15,2.6363607027167144,1
2005-04-18,1.376726478087397,1
2005-04-19,1.3457024706408118,1
2005-04-20,1.3640815636439605,1
2005-04-25,2.2092506443761635,1
2005-04-27,0.9736225683917356,1
2005-04-28,0.8063220202843235,1
2005-04-29,1.7772642311797642,1
2005-05-09,2.179500274453384,1
2005-05-10,0.4406481304381655,1
2005-05-11,1.059637712989376,1
2005-05-12,0.9394195431381848,1
2005-05-13,1.916182131581485,1
2005-05-16,0.945868629620122,1
2005-05-17,1.596825930752798,1
2005-05-18,1.51403048250046,1
2005-05-19,0.9733040402678574,1
2005-05-20,2.0086806603510623,1
2005-05-23,1.4491708231819542,1
2005-05-24,0.3819293328424622,1
2005-05-25,0.4895833242612181,1
2005-05-26,0.435919903342149,1
2005-05-27,1.4546365838782809,1
2005-05-30,0.7144837816665015,1
2005-05-31,2.7254904718752173,1
2005-06-01,0.498874630246715,1
2005-06-02,0.8696468391746223,1
2005-06-03,0.9861970916037556,1
2005-06-06,0.655817655249965,1
2005-06-07,1.296940464008587,1
2005-06-08,0.6862106142526226,1
2005-06-09,0.4860594919175112,1
2005-06-10,1.6446049899841306,1
2005-06-13,0.4580374538574812,1
2005-06-14,1.1959352979144926,1
2005-06-15,0.6435626420857764,1
2005-06-16,0.7790213984414145,1
2005-06-20,0.5835930591298992,1
2005-06-21,1.0440581375670517,1
2005-06-22,1.3949127286953975,1
2005-06-23,1.816833453670668,1
2005-06-24,0.8033795276263188,1
2005-06-27,0.7097080846906798,1
2005-06-28,0.8370452468973109,1
2005-06-29,1.0054209070315778,1
2005-06-30,1.242631173499133,1
2005-07-01,1.257968100674574,1
2005-07-05,0.7280678576607225,1
2005-07-07,1.019039676165705,1
2005-07-08,0.7756030875855549,1
2005-07-11,1.245738043940229,1
2005-07-12,0.6056927594638474,1
2005-07-13,0.882988010607325,1
2005-07-14,0.9053740697642528,1
2005-07-15,0.7452786795258058,1
2005-07-18,1.362606151605216,1
2005-07-19,1.7839899061806943,1
2005-07-20,0.5737055902912502,1
2005-07-21,0.930951842917112,1
2005-07-22,0.5347008839844745,1
2005-07-25,1.154543786613897,1
2005-07-26,0.6396492702809131,1
2005-07-27,1.020896576897725,1
2005-07-28,0.933108731159002,1
2005-07-29,0.6565506307196147,1
2005-08-01,1.8185585974726275,1
2005-08-03,1.7159850227516855,1
2005-08-05,0.664530449438479,1
2005-08-10,0.7577024780418993,1
2005-08-11,0.441863779444646,1
2005-08-16,0.6079253325686101,1
2005-08-17,1.028615150222985,1
2005-08-18,1.3527277169560483,1
2005-08-22,0.6884972954491311,1
2005-08-23,0.9023777097743052,1
2005-08-26,1.131371231101706,1
2005-08-29,0.5192354172307807,1
2005-08-30,1.0607047823226372,1
2005-08-31,1.0076874564078646,1
2005-09-01,0.7665447364330709,1
2005-09-02,0.79700530056089,1
2005-09-05,1.7085709341106847,1
2005-09-07,0.7134998609012863,1
2005-09-09,1.1112512612842655,1
2005-09-13,0.6136710562663228,1
2005-09-14,0.7977643843652598,1
2005-09-19,1.2025996177174572,1
2005-09-20,0.8527161601413336,1
2005-09-21,0.9345728769685568,1
2005-09-27,0.6196715076279085,1
2005-11-01,1.1057268694332163,1
2005-11-02,1.482008033428118,1
2005-11-03,0.448340919702893,1
2005-11-04,0.8014763120299673,1
2005-11-09,1.3455617120150671,1
2005-11-14,1.4365919121864437,1
2005-11-16,1.1615328496959594,1
2005-11-18,0.2359578043596042,1
2005-11-21,1.0893968036420063,1
2005-11-22,0.4530222980994526,1
2005-11-24,1.317998541439212,1
2005-11-25,1.2922177376709565,1
2005-11-28,1.123969336091595,1
2005-11-30,1.5155351890860764,1
2005-12-02,1.3168812807193828,1
2005-12-06,1.59320126514974,1
2005-12-09,0.6040472180158241,1
2005-12-23,2.161532586354107,1
2005-12-26,1.2430732210446946,1
2005-04-08,1.3812479999502525,10
2005-04-11,0.6553294610174532,10
2005-04-13,0.7255916553588013,10
2005-04-14,1.320582716079988,10
2005-04-15,1.5208675558042803,10
2005-04-19,1.86400583750591,10
2005-04-20,0.9859622985054596,10
2005-04-21,1.2657834511045325,10
2005-04-22,1.5363116386019244,10
2005-04-25,2.1511918038782767,10
2005-04-28,0.5081037639580044,10
2005-04-29,0.653548338196068,10
2005-05-09,2.1395618301244803,10
2005-05-10,0.7681102105236891,10
2005-05-11,1.9308079029907717,10
2005-05-16,1.5741001484096548,10
2005-05-17,0.9135903988715184,10
2005-05-18,2.504960485569837,10
2005-05-19,1.8068892879702212,10
2005-06-03,0.8446677023788002,10
2005-06-06,0.383337791695078,10
2005-06-07,1.3787292060548386,10
2005-06-08,0.4487060889787644,10
2005-06-09,0.6425594686373246,10
2005-06-10,0.991071266374277,10
2005-06-13,0.3016870152177783,10
2005-06-15,0.5973136231253136,10
2005-06-16,0.7974656212936571,10
2005-06-17,1.5200546095163232,10
2005-06-20,0.3312793284273836,10
2005-06-21,1.0086637585847051,10
2005-06-23,2.185037073172495,10
2005-07-01,1.8760702220983223,10
2005-07-04,2.037009214404806,10
2005-07-05,1.1301433079843033,10
2005-07-08,1.6858460247992113,10
2005-07-13,1.1516395134933048,10
2005-07-15,1.0161924769644304,10
2005-07-19,3.980794226584808,10
2005-07-20,0.8041970889787309,10
2005-07-25,2.5531490064157185,10
2005-07-26,0.7997305410502225,10
2005-07-28,0.7992361301496451,10
