Trddt,Square,Stkcd
2005-01-04,0.0663677954078448,1
2005-01-05,0.3658812286998322,1
2005-01-06,0.364767074659361,1
2005-01-10,0.4610531296159978,1
2005-01-18,0.3874038453554465,1
2005-01-19,0.1544298738703703,1
2005-01-20,0.0787043219116616,1
2005-01-21,1.3496379225779442,1
2005-01-24,0.1282665590125698,1
2005-01-26,0.3006827078459822,1
2005-01-27,0.1962243659150694,1
2005-01-31,0.3938340090025905,1
2005-02-01,0.6808575932191966,1
2005-02-02,0.7200889742014405,1
2005-02-03,0.1005500506380731,1
2005-02-04,1.415856092800021,1
2005-02-16,0.154007478654612,1
2005-02-18,0.4441290236012034,1
2005-02-21,0.313655839143719,1
2005-02-22,0.742757731002826,1
2005-02-23,0.1857783878420077,1
2005-02-24,0.2449376541828268,1
2005-02-28,0.1424544219612305,1
2005-03-04,0.1801948454052146,1
2005-03-09,0.1523348774332932,1
2005-03-14,0.1454299917415585,1
2005-03-16,0.2641061942940499,1
2005-03-21,0.0539206175658147,1
2005-03-22,1.0325440288665877,1
2005-03-23,0.193787746334144,1
2005-03-24,0.0834313962282714,1
2005-03-28,0.8285259380703319,1
2005-03-30,0.464284959655204,1
2005-04-04,0.3641195960343272,1
2005-04-05,0.1354788251952089,1
2005-04-06,1.1380239257739693,1
2005-04-08,2.687748603544778,1
2005-04-11,0.6852514199544893,1
2005-04-12,0.2704758666326347,1
2005-04-13,1.6678737369039909,1
2005-04-14,1.7831792445698682,1
2005-04-15,2.298122896537341,1
2005-04-18,2.130245452337211,1
2005-04-19,0.9383682356017764,1
2005-04-20,1.875806494568842,1
2005-04-25,1.2925931210055637,1
2005-04-27,0.4698017155534269,1
2005-04-28,3.214034673601082,1
2005-04-29,5.101482398304963,1
2005-05-09,1.225776034149488,1
2005-05-10,0.6344091520997867,1
2005-05-11,0.5529445118996535,1
2005-05-12,0.1622976019455122,1
2005-05-13,0.9631940008050952,1
2005-05-16,0.1534308489189421,1
2005-05-17,0.8903102702055016,1
2005-05-18,0.8672145713277635,1
2005-05-19,0.4557844109964977,1
2005-05-20,1.0117115265838414,1
2005-05-23,2.0178874371777047,1
2005-05-24,1.042105922968993,1
2005-05-25,0.0991211381196725,1
2005-05-26,0.199989809023078,1
2005-05-27,0.4463753021528771,1
2005-05-30,1.1409009489621706,1
2005-05-31,2.4244709673821374,1
2005-06-01,0.1247046046996895,1
2005-06-02,1.6921443141810837,1
2005-06-03,0.172575876661786,1
2005-06-06,0.4398133497762453,1
2005-06-07,0.2714547303606938,1
2005-06-08,0.270471978654907,1
2005-06-09,0.1453430083191662,1
2005-06-10,0.3128359690689544,1
2005-06-13,0.4391295136542351,1
2005-06-15,0.4321062686519298,1
2005-06-16,0.1511196713557538,1
2005-06-20,0.9099090999115576,1
2005-06-21,0.1014059834186361,1
2005-06-22,0.3592979338376299,1
2005-06-23,0.8639712293772045,1
2005-06-24,0.4284308867878674,1
2005-06-27,0.1320489958348676,1
2005-06-28,0.2573513487021461,1
2005-06-29,0.1178278571238262,1
2005-06-30,0.519220768663851,1
2005-07-01,0.366581907767696,1
2005-07-05,0.0888468787721544,1
2005-07-07,0.0674676505414265,1
2005-07-08,0.4196485212902234,1
2005-07-11,1.2904951392413897,1
2005-07-12,1.713457235232669,1
2005-07-13,0.1324391760243539,1
2005-07-14,0.2300200712769707,1
2005-07-15,1.1035395852867376,1
2005-07-18,0.4705440175364859,1
2005-07-19,0.6886694855883121,1
2005-07-20,0.6021041369348175,1
2005-07-21,0.0825612375744438,1
2005-07-22,0.6825959760269121,1
2005-07-25,0.5276228856580268,1
2005-07-26,0.194435216077784,1
2005-07-27,0.3395145635058842,1
2005-07-28,0.1570076953262996,1
2005-07-29,0.4096096280911057,1
2005-08-01,0.7154866998221078,1
2005-08-03,0.7956586524207018,1
2005-08-05,0.7668767426613113,1
2005-08-10,0.2499938305159877,1
2005-08-11,0.7980450096056808,1
2005-08-16,0.1975847930096461,1
2005-08-17,0.5522898670991611,1
2005-08-18,0.1831859684596709,1
2005-08-22,0.1396129421070807,1
2005-08-23,0.2312371911883645,1
2005-08-26,0.0979522485696981,1
2005-08-29,0.0502347357522901,1
2005-08-30,0.5473920820412448,1
2005-08-31,0.2656145335754155,1
2005-09-01,0.3393938418608859,1
2005-09-02,0.1895062754286692,1
2005-09-05,0.5122213533448421,1
2005-09-07,0.0699237668558446,1
2005-09-09,0.3835817896116526,1
2005-09-13,0.2688292574335835,1
2005-09-14,0.0597884350155167,1
2005-09-19,0.7708743240746626,1
2005-09-20,0.0725261985083761,1
2005-09-21,0.0928351105286243,1
2005-09-27,0.5984593431214744,1
2005-11-01,0.2303267917033624,1
2005-11-02,0.238914009008248,1
2005-11-03,0.3351459547031918,1
2005-11-04,0.0778542850839186,1
2005-11-09,1.0886424986985077,1
2005-11-14,0.3669595035647126,1
2005-11-16,0.2007386346317142,1
2005-11-18,0.3963266744569441,1
2005-11-21,0.08895152451405,1
2005-11-22,0.5159747658504833,1
2005-11-24,0.4697160106386147,1
2005-11-25,4.374440899582666,1
2005-11-28,0.1142642807574261,1
2005-11-30,0.43239869637369,1
2005-12-02,0.2702067389704786,1
2005-12-06,0.6310013318653622,1
2005-12-09,2.692374718812081,1
2005-12-23,0.7258037759313404,1
2005-12-26,0.2514475352768563,1
2005-01-05,1.6181546240748872,10
2005-01-06,2.0306200812311044,10
2005-01-07,4.337253679681573,10
2005-01-10,1.6601956213494036,10
2005-01-11,1.5333903073731463,10
2005-01-13,3.161670929094653,10
2005-01-14,0.7877431450382334,10
