Group,AvgRet,Alpha
Beta_abs_intra_G01,1.0811,1.0256
Beta_abs_intra_G02,0.0767,-0.6394
Beta_abs_intra_G03,0.2567,-0.138
HML,-0.8244,-1.1636
t,-1.903,-3.1653
p,0.0764,0.0045
