Group,AvgRet,Alpha
BQ100_G01,1.2123,0.7902
BQ100_G02,0.2728,0.3237
BQ100_G03,-0.0012,-0.6596
HML,-1.2135,-1.4498
t,-1.3549,-1.8105
p,0.1955,0.0839
