Group,AvgRet,Alpha
AutoCorr_G01,-0.2576,-0.3598
AutoCorr_G02,1.3457,0.8257
AutoCorr_G03,1.0111,0.4028
HML,1.2687,0.7626
t,1.2909,0.9178
p,0.2163,0.3687
