Group_Square,RSJ_G01,RSJ_G03,AvgRet,Alpha
Square_G01,3.6103,0.9825,2.8078,-3.4858
Square_G02,2.2119,1.0613,2.1443,-1.6035
Square_G03,2.7125,1.5037,2.1149,0.7981
HML,-0.8978,0.5212,-0.6929,4.2839
t,-0.8074,0.4859,-0.6569,1.4799
p,0.446,0.6525,0.5322,0.1531
