Group_AutoCorr,RSJ_G01,RSJ_G03,AvgRet,Alpha
AutoCorr_G01,2.7842,1.0908,2.2138,-0.4497
AutoCorr_G02,3.084,0.6089,2.247,-0.8448
AutoCorr_G03,2.6665,1.8477,2.6063,-2.9968
HML,-0.1177,0.7569,0.3926,-2.5471
t,-0.0705,0.497,0.2397,-1.4112
p,0.9458,0.6453,0.8175,0.1722
