Group_BQ100,MIN_G01,MIN_G03,AvgRet,Alpha
BQ100_G01,1.6537,1.3333,1.4997,0.7445
BQ100_G02,2.2559,0.6541,1.408,-1.4123
BQ100_G03,2.3962,3.2746,2.3141,3.8928
HML,0.7424,1.9413,0.8144,3.1484
t,0.507,1.3217,0.7726,1.8725
p,0.6277,0.2568,0.465,0.0745
