Group_AutoCorr,REV_G01,REV_G03,AvgRet,Alpha
AutoCorr_G01,3.2575,0.0845,2.0334,0.8403
AutoCorr_G02,1.7536,4.1161,2.5699,-1.2237
AutoCorr_G03,3.2842,1.7166,2.9578,-1.1447
HML,0.0267,1.6322,0.9243,-1.985
t,0.0169,1.046,0.6673,-1.4175
p,0.987,0.3546,0.526,0.1704
