Group_Square,ME_G01,ME_G03,AvgRet,Alpha
Square_G01,1.9922,2.2434,1.9635,-0.0384
Square_G02,2.3217,1.6365,2.083,-3.5642
Square_G03,1.6259,2.9905,1.8326,5.1362
HML,-0.3664,0.7471,-0.1309,5.1746
t,-0.2351,0.4371,-0.1091,5.2824
p,0.8209,0.6846,0.9162,0.0
