Group_BQ100,beta_G01,beta_G03,AvgRet,Alpha
BQ100_G01,1.8496,0.6235,1.0483,-0.4446
BQ100_G02,1.3676,-1.5824,0.4185,-2.218
BQ100_G03,2.6515,2.9954,2.3095,-2.2611
HML,0.8019,2.372,1.2612,-1.8165
t,1.1911,1.9926,1.3371,-1.316
p,0.2724,0.1171,0.223,0.2017
