Group_AutoCorr,CKT_G01,CKT_G03,AvgRet,Alpha
AutoCorr_G01,0.7324,1.8538,0.4242,-3.1223
AutoCorr_G02,2.2856,4.5565,2.6492,2.3685
AutoCorr_G03,3.1161,1.1481,2.2666,-1.161
HML,2.3837,-0.7057,1.8425,1.9613
t,3.389,-0.3541,2.4639,0.6232
p,0.0116,0.7411,0.0432,0.5396
