Group_AutoCorr,MAX_G01,MAX_G03,AvgRet,Alpha
AutoCorr_G01,2.1494,0.3731,1.4725,1.6111
AutoCorr_G02,0.8947,3.7944,1.8621,-3.9454
AutoCorr_G03,3.3741,2.092,3.12,-4.4886
HML,1.2247,1.7188,1.6475,-6.0997
t,1.2931,1.3848,1.4024,-6.8502
p,0.237,0.2384,0.2036,0.0
