Group_Square,MIN_G01,MIN_G03,AvgRet,Alpha
Square_G01,2.465,0.6968,1.8814,0.5713
Square_G02,1.8793,2.3378,1.5708,-1.2672
Square_G03,1.9615,2.2274,1.7695,3.9209
HML,-0.5035,1.5305,-0.1119,3.3496
t,-0.8066,0.7966,-0.1279,1.9719
p,0.4464,0.4703,0.9018,0.0613
