Group_BQ100,REV_G01,REV_G03,AvgRet,Alpha
BQ100_G01,2.0532,3.0755,2.0942,0.9112
BQ100_G02,3.2517,1.71,3.1619,-4.2026
BQ100_G03,2.9904,1.1317,2.3051,1.7632
HML,0.9373,-1.9438,0.2109,0.852
t,2.406,-3.0421,0.5027,0.3417
p,0.047,0.0383,0.6306,0.7359
