Group_Square,beta_G01,beta_G03,AvgRet,Alpha
Square_G01,1.7239,-1.4626,0.3593,1.3747
Square_G02,1.8672,1.7335,1.8657,-3.4893
Square_G03,2.2776,1.7657,1.5512,-2.8092
HML,0.5537,3.2283,1.192,-4.1838
t,0.8664,1.1785,0.9712,-3.0929
p,0.415,0.3039,0.3638,0.0053
