Group_AutoCorr,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
AutoCorr_G01,0.5179,1.0503,0.178,-3.5505
AutoCorr_G02,3.8126,4.1237,4.2013,-2.0661
AutoCorr_G03,2.4271,1.8698,1.9747,-0.08
HML,1.9092,0.8196,1.7966,3.4705
t,2.1337,0.4419,1.8972,2.0798
p,0.0703,0.6814,0.0996,0.0494
