Group_BQ100,CSK_G01,CSK_G03,AvgRet,Alpha
BQ100_G01,2.1333,1.0988,1.5759,-1.2922
BQ100_G02,2.231,2.2241,2.1691,0.0791
BQ100_G03,4.3498,1.5717,3.4131,-2.0397
HML,2.2165,0.4729,1.8373,-0.7475
t,1.4973,0.6808,1.4414,-0.3551
p,0.178,0.5334,0.1927,0.7259
