Group_Square,MIN_G01,MIN_G03,AvgRet,Alpha
Square_G01,2.8256,0.6968,2.0617,0.4274
Square_G02,1.5187,2.3378,1.3905,-1.1233
Square_G03,1.9615,2.2274,1.7695,3.9209
HML,-0.8641,1.5305,-0.2922,3.4935
t,-1.0818,0.7966,-0.3076,2.1336
p,0.3152,0.4703,0.7673,0.0443
