Group_AutoCorr,CKT_G01,CKT_G03,AvgRet,Alpha
AutoCorr_G01,2.4911,3.6614,2.46,1.5019
AutoCorr_G02,1.2595,2.8311,1.2727,-0.4212
AutoCorr_G03,2.3835,1.0659,1.6073,-2.9955
HML,-0.1076,-2.5955,-0.8526,-4.4975
t,-0.0767,-1.4185,-0.5759,-2.2438
p,0.941,0.229,0.5827,0.0352
