Group_AutoCorr,REV_G01,REV_G03,AvgRet,Alpha
AutoCorr_G01,3.6636,2.2272,3.0425,-1.4099
AutoCorr_G02,2.8068,2.1413,3.0157,-1.6008
AutoCorr_G03,1.8249,1.5487,1.5029,1.4826
HML,-1.8388,-0.6785,-1.5396,2.8926
t,-4.2746,-0.2434,-1.7848,1.7798
p,0.0037,0.8196,0.1175,0.0889
