Group_Beta_abs_intra,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
Beta_abs_intra_G01,3.597,1.951,3.1242,-3.9099
Beta_abs_intra_G02,2.7785,2.9444,2.7765,0.9214
Beta_abs_intra_G03,0.3821,2.1484,0.4533,-2.7081
HML,-3.2149,0.1974,-2.6708,1.2018
t,-3.9324,0.099,-2.0919,0.4005
p,0.0057,0.9259,0.0748,0.6926
