Group_BQ100,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
BQ100_G01,2.3334,1.2167,1.9533,-1.124
BQ100_G02,0.3111,2.0084,1.0123,-3.3996
BQ100_G03,2.5157,3.087,2.5073,-5.3101
HML,0.1823,1.8704,0.554,-4.1862
t,0.1087,3.3667,0.3041,-1.476
p,0.9165,0.0281,0.7699,0.1541
