Group_AutoCorr,ME_G01,ME_G03,AvgRet,Alpha
AutoCorr_G01,2.3218,3.6614,2.4589,1.6194
AutoCorr_G02,1.7286,2.2035,1.9175,1.498
AutoCorr_G03,1.8895,1.0055,1.5027,-1.5837
HML,-0.4324,-2.6558,-0.9562,-3.2031
t,-0.2809,-1.681,-0.6717,-1.1058
p,0.7869,0.168,0.5233,0.2807
