Group_Beta_abs_intra,CKT_G01,CKT_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.217,4.6311,2.6245,1.2946
Beta_abs_intra_G02,2.8347,1.2907,2.0092,0.8475
Beta_abs_intra_G03,1.0824,1.6365,0.7063,-4.0569
HML,-1.1346,-2.9945,-1.9182,-5.3515
t,-0.7043,-1.3316,-1.9733,-2.0248
p,0.504,0.2538,0.0891,0.0552
