Group_Square,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
Square_G01,2.3708,2.939,2.2806,-0.8515
Square_G02,1.9218,2.5164,2.1887,1.0786
Square_G03,2.4651,1.5884,1.8847,-5.9236
HML,0.0943,-1.3505,-0.3959,-5.0722
t,0.0742,-0.751,-0.307,-3.3036
p,0.9429,0.4944,0.7678,0.0032
