Group_Square,beta_G01,beta_G03,AvgRet,Alpha
Square_G01,1.9259,-0.5342,0.7504,-1.3131
Square_G02,1.4496,0.5171,0.8712,0.9174
Square_G03,3.6005,1.2528,2.7139,-2.2301
HML,1.6746,1.787,1.9635,-0.9171
t,1.7923,1.2415,1.729,-0.4093
p,0.1162,0.2822,0.1274,0.6862
