Group_BQ100,BM_G01,BM_G03,AvgRet,Alpha
BQ100_G01,2.9248,0.8368,1.9677,-2.1818
BQ100_G02,0.9983,3.9465,1.6331,0.7032
BQ100_G03,0.2673,3.1206,1.2015,0.8129
HML,-2.6576,2.2838,-0.7662,2.9946
t,-2.1049,3.2966,-1.2638,3.9944
p,0.0733,0.03,0.2468,0.0006
