Group_AutoCorr,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
AutoCorr_G01,2.7096,2.5702,2.824,-1.9422
AutoCorr_G02,0.7042,1.3253,1.0679,-6.8436
AutoCorr_G03,1.7464,2.4166,1.581,-1.0478
HML,-0.9631,-0.1537,-1.243,0.8944
t,-1.2968,-0.1406,-1.3303,0.4142
p,0.2358,0.895,0.2251,0.6827
