Group_Beta_abs_intra,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.8907,0.6807,2.1925,-5.1795
Beta_abs_intra_G02,1.2336,3.3904,2.3423,-0.4875
Beta_abs_intra_G03,1.036,2.241,0.9382,-4.1667
HML,-1.8548,1.5603,-1.2543,1.0128
t,-2.242,2.8749,-1.3145,0.2798
p,0.0599,0.0452,0.2301,0.7823
