Group_Beta_abs_intra,RSJ_G01,RSJ_G03,AvgRet,Alpha
Beta_abs_intra_G01,3.8595,0.429,2.8431,-4.1361
Beta_abs_intra_G02,2.7244,1.3041,2.2009,0.9739
Beta_abs_intra_G03,1.9508,1.8143,2.0232,-1.1291
HML,-1.9087,1.3853,-0.8199,3.007
t,-1.5404,0.9155,-0.6831,1.2181
p,0.1674,0.4117,0.5165,0.2361
