Group_AutoCorr,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
AutoCorr_G01,2.9868,1.8082,2.8838,-2.5456
AutoCorr_G02,2.4822,2.992,2.3529,-0.9293
AutoCorr_G03,1.2886,2.2436,1.1173,-2.2216
HML,-1.6982,0.4353,-1.7666,0.324
t,-0.9924,0.2163,-0.8797,0.0754
p,0.3541,0.8393,0.4082,0.9406
