Group_Square,ME_G01,ME_G03,AvgRet,Alpha
Square_G01,1.7463,2.2434,1.818,0.3765
Square_G02,2.5676,1.6365,2.2286,-3.979
Square_G03,1.6259,2.9905,1.8326,5.1362
HML,-0.1205,0.7471,0.0146,4.7597
t,-0.0785,0.4371,0.0123,5.3786
p,0.9396,0.6846,0.9906,0.0
