Group,AvgRet,Alpha
BQ100_G01,1.3534,0.8678
BQ100_G02,1.0368,1.0235
BQ100_G03,-0.4011,-1.1142
HML,-1.7545,-1.9819
t,-2.1075,-2.639
p,0.0523,0.015
