Group,AvgRet,Alpha
AutoCorr_G01,0.6652,0.2422
AutoCorr_G02,0.5024,0.3823
AutoCorr_G03,-0.3221,-1.0858
HML,-0.9873,-1.328
t,-1.0174,-1.4204
p,0.3251,0.1695
