Group,AvgRet,Alpha
Square_G01,1.3318,0.9537
Square_G02,1.0857,0.523
Square_G03,0.0879,-0.2645
HML,-1.244,-1.2182
t,-1.7225,-1.9276
p,0.1055,0.0669
