Group,AvgRet,Alpha
Beta_abs_intra_G01,2.4257,2.267
Beta_abs_intra_G02,0.0433,-0.6682
Beta_abs_intra_G03,-0.1323,-0.5717
HML,-2.5581,-2.8387
t,-2.7574,-4.145
p,0.0147,0.0004
