Group_Square,MAX_G01,MAX_G03,AvgRet,Alpha
Square_G01,3.1571,2.3889,2.8186,-4.3431
Square_G02,0.8684,3.0362,1.8977,-2.8747
Square_G03,2.3927,0.8345,1.7383,0.3949
HML,-0.7644,-1.5544,-1.0803,4.7379
t,-0.3408,-1.2592,-0.6742,2.8934
p,0.7433,0.2764,0.5218,0.0084
