Group_AutoCorr,ME_G01,ME_G03,AvgRet,Alpha
AutoCorr_G01,2.0605,1.6294,1.6246,4.6163
AutoCorr_G02,2.0227,2.5455,2.2176,1.6599
AutoCorr_G03,1.8566,2.6955,2.037,-4.7426
HML,-0.2039,1.0661,0.4124,-9.3588
t,-0.1621,0.4815,0.3565,-5.8654
p,0.8758,0.6553,0.732,0.0
