Group_Square,REV_G01,REV_G03,AvgRet,Alpha
Square_G01,2.3831,1.9019,1.8924,-0.2813
Square_G02,2.9218,3.9308,3.6909,-3.2713
Square_G03,2.9904,0.0845,1.9778,2.0244
HML,0.6073,-1.8175,0.0854,2.3058
t,1.1016,-2.2535,0.1268,1.2415
p,0.3071,0.0873,0.9027,0.2275
