Group_AutoCorr,beta_G01,beta_G03,AvgRet,Alpha
AutoCorr_G01,1.9114,-0.2093,0.7358,0.2882
AutoCorr_G02,1.9439,1.1098,1.7092,-2.8791
AutoCorr_G03,2.0134,1.136,1.3312,-2.3328
HML,0.102,1.3453,0.5954,-2.621
t,0.2714,1.0486,0.8618,-1.3594
p,0.7939,0.3535,0.4173,0.1878
