Group_Beta_abs_intra,CKT_G01,CKT_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.4124,5.3429,2.7833,3.7661
Beta_abs_intra_G02,2.6393,0.5789,1.8504,-1.624
Beta_abs_intra_G03,1.0824,1.6365,0.7063,-4.0569
HML,-1.33,-3.7063,-2.0771,-7.823
t,-0.8255,-1.4297,-1.9216,-5.0512
p,0.4363,0.226,0.0961,0.0
