Group_AutoCorr,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
AutoCorr_G01,1.3476,2.1336,1.285,-4.8967
AutoCorr_G02,3.7083,2.4218,3.6173,-2.0056
AutoCorr_G03,0.1043,1.7567,0.5707,-2.9313
HML,-1.2433,-0.3769,-0.7144,1.9654
t,-0.8305,-0.3281,-0.8722,0.8445
p,0.4337,0.7593,0.412,0.4075
