Group_AutoCorr,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
AutoCorr_G01,1.2343,0.0646,0.4307,-2.8395
AutoCorr_G02,1.582,2.3084,1.7219,-0.5767
AutoCorr_G03,2.5424,3.1988,2.6772,1.0043
HML,1.3081,3.1342,2.2466,3.8437
t,1.6931,1.4008,1.7388,1.7859
p,0.1343,0.2339,0.1256,0.0879
