Group_AutoCorr,MIN_G01,MIN_G03,AvgRet,Alpha
AutoCorr_G01,1.9877,1.0081,1.2095,2.1779
AutoCorr_G02,2.5225,1.2064,1.7695,2.2561
AutoCorr_G03,1.7956,3.0475,2.2427,-1.209
HML,-0.1922,2.0394,1.0332,-3.3869
t,-0.2703,0.7901,0.7951,-1.2909
p,0.7947,0.4737,0.4527,0.2101
